date,close
2019-12-10,203.9
2019-12-11,204.98
2019-12-12,206.51
2019-12-13,207.19
2019-12-16,209.27
2019-12-17,209.39
2019-12-18,209.55
2019-12-19,210.86
2019-12-20,211.71
2019-12-23,211.81
2019-12-24,211.92
2019-12-26,213.79
2019-12-27,213.61
2019-12-30,212.21
2019-12-31,212.61
2020-01-02,216.16
2020-01-03,214.18
2020-01-06,215.56
2020-01-07,215.53
2020-01-08,217.15
2020-01-09,218.99
2020-01-10,218.43
2020-01-13,220.95
2020-01-14,220.08
2020-01-15,220.17
2020-01-16,222.28
2020-01-17,223.38
2020-01-21,223.28
2020-01-22,223.87
2020-01-23,224.59
2020-01-24,222.7
2020-01-27,218.1
2020-01-28,221.45
2020-01-29,221.81
2020-01-30,222.6
2020-01-31,219.07
2020-02-03,222.38
2020-02-04,227.47
2020-02-05,228.22
2020-02-06,230.19
2020-02-07,229.2
2020-02-10,231.97
2020-02-11,232.01
2020-02-12,234.27
2020-02-13,233.97
2020-02-14,234.64
2020-02-18,234.73
2020-02-19,236.98
2020-02-20,234.78
2020-02-21,230.27
2020-02-24,221.39
2020-02-25,215.37
2020-02-26,216.48
2020-02-27,205.64
2020-02-28,205.8
2020-03-02,216.42
2020-03-03,209.48
2020-03-04,218.22
2020-03-05,211.59
2020-03-06,208.02
2020-03-09,193.57
2020-03-10,204.11
2020-03-11,195.22
2020-03-12,177.32
2020-03-13,192.34
2020-03-16,169.3
2020-03-17,182.14
2020-03-18,176.6
2020-03-19,177.66
2020-03-20,170.7
2020-03-23,170.46
2020-03-24,183.66
2020-03-25,182.3
2020-03-26,191.9
2020-03-27,185.3
2020-03-30,192.04
2020-03-31,190.4
2020-04-01,182.31
2020-04-02,186.01
2020-04-03,183.37
2020-04-06,196.48
2020-04-07,196.4
2020-04-08,200.57
2020-04-09,200.86
2020-04-13,203.03
2020-04-14,211.86
2020-04-15,209.43
2020-04-16,213.25
2020-04-17,215.29
2020-04-20,212.74
2020-04-21,204.89
2020-04-22,210.97
2020-04-23,210.52
2020-04-24,213.84
2020-04-27,215.56
2020-04-28,211.5
2020-04-29,219.0
2020-04-30,218.91
2020-05-01,212.74
2020-05-04,215.22
2020-05-05,217.66
2020-05-06,219.0
2020-05-07,221.82
2020-05-08,224.86
2020-05-11,226.87
2020-05-12,222.12
2020-05-13,219.34
2020-05-14,221.83
2020-05-15,223.27
2020-05-18,227.43
2020-05-19,226.86
2020-05-20,231.39
2020-05-21,228.87
2020-05-22,229.66
2020-05-26,229.04
2020-05-27,230.29
2020-05-28,229.99
2020-05-29,233.36
2020-06-01,234.06
2020-06-02,235.63
2020-06-03,236.69
2020-06-04,235.03
2020-06-05,239.69
2020-06-08,241.55
2020-06-09,243.3
2020-06-10,246.22
2020-06-11,234.02
2020-06-12,235.88
2020-06-15,238.75
2020-06-16,242.85
2020-06-17,243.62
2020-06-18,244.28
2020-06-19,244.24
2020-06-22,246.74
2020-06-23,248.84
2020-06-24,243.71
2020-06-25,246.03
2020-06-26,240.22
2020-06-29,242.84
2020-06-30,247.6
2020-07-01,250.49
2020-07-02,252.19
2020-07-06,258.39
2020-07-07,256.61
2020-07-08,259.99
